file_path,label_source,file_exists,file_size_bytes,metadata_duration_seconds,sample_rate_hz,channels,estimated_bitrate_kbps,container_format,codec_subtype,bitrate_kbps,bitrate_mode,mpeg_version,mp3_mode,metadata_error
music/low_stream/Praying Gods - 02-DevoursItself.mp3,archive_low_download,True,1255239,78.43675736961451,44100.0,2.0,128.02558821599274,MP3,MPEG_LAYER_III,128.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Túlio Falcão - 08_Orfeu_Em_3_MIDI-Movimentos.mp3,archive_low_download,True,7794816,323.28113378684805,44100.0,2.0,192.89256774605172,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,stereo,
music/low_stream/Greater Gods - 01-SlaveToTheMonolith.mp3,archive_low_download,True,6995099,171.64190476190475,44100.0,2.0,326.0322243430398,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Moan - 10_moan_-_live_at_aoia_17_11_2006__excerpt_.mp3,archive_low_download,True,12195840,381.53514739229024,44100.0,2.0,255.72144707203861,MP3,MPEG_LAYER_III,256.0,constant,MPEG 1.0,stereo,
music/low_stream/Rusty Sleep Karter - 01.TaintIi.mp3,archive_low_download,True,48451250,3027.971678004535,44100.0,2.0,128.0097838482555,MP3,MPEG_LAYER_III,128.0,constant,MPEG 1.0,stereo,
"music/low_stream/Charles Monroe-Kane - 3 Oklahoma, 2016.mp3",archive_low_download,True,2285305,82.74562358276644,44100.0,2.0,220.94751611501195,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/Melcher Tschiemer - OdesInA-Ode3ahmedAbdullah-RichieEvans-14July1996.mp3,archive_low_download,True,3695349,231.49054421768707,44100.0,1.0,127.70626160954548,MP3,MPEG_LAYER_III,128.0,constant,MPEG 1.0,mono,
music/low_stream/Meho - 02.Kloniranje.mp3,archive_low_download,True,55517605,1387.8013832199547,44100.0,2.0,320.03199115532766,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Slew52 - 04.New_Glands_vbr.mp3,archive_low_download,True,7057765,277.33913832199545,44100.0,2.0,203.58511366847372,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/Persefone - 05 - לוציפר.mp3,archive_low_download,True,3700593,162.32886621315194,44100.0,2.0,182.37510487584132,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/Bill and John Storch - LN04_3.Prayer_vbr.mp3,archive_low_download,True,7193742,316.05551020408166,44100.0,2.0,182.08806409620627,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/Triptome - instinto_vbr.mp3,archive_low_download,True,3928088,190.49650793650792,44100.0,2.0,164.96210004266212,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/Phloby Vs. C. Goff III - 01WhatIsThisProduct.mp3,archive_low_download,True,1036381,43.241950113378685,44100.0,2.0,191.73621860857799,MP3,MPEG_LAYER_III,192.0,constant,MPEG 1.0,stereo,
music/low_stream/And - 04.Chicken_Soup_vbr.mp3,archive_low_download,True,3358592,141.312,48000.0,2.0,190.13768115942028,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/Trujillo and 5053x - 02-data002-crucero-katrina.mp3,archive_low_download,True,9985993,416.0,44100.0,2.0,192.03832692307694,MP3,MPEG_LAYER_III,192.0,constant,MPEG 1.0,stereo,
music/low_stream/Mutex - Mutex--EgyptianSong.mp3,archive_low_download,True,786756,196.63773242630384,11025.0,2.0,32.00834306995933,MP3,MPEG_LAYER_III,32.0,constant,MPEG 2.5,joint stereo,
music/low_stream/Binky Vonsopwith - 02_funkslap_64kb.mp3,archive_low_download,True,123633,15.323809523809524,22050.0,2.0,64.54426351771286,MP3,MPEG_LAYER_III,64.0,constant,MPEG 2.0,joint stereo,
music/low_stream/Cumshot records - 10_Penelope_64kb.mp3,archive_low_download,True,1089119,136.01922902494331,22050.0,2.0,64.05676655028101,MP3,MPEG_LAYER_III,64.0,constant,MPEG 2.0,joint stereo,
"music/low_stream/Daron Key, Randy Lee Sutherland - 8_movements5.mp3",archive_low_download,True,1669762,69.56662131519275,44100.0,2.0,192.01875479156996,MP3,MPEG_LAYER_III,192.0,constant,MPEG 1.0,stereo,
"music/low_stream/Гиф - 036. Ах, Ты Ублюдок Вшивый.mp3",archive_low_download,True,554352,10.711269841269841,44100.0,2.0,414.03270253849234,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/Deep-X Recordings - deepx264-01_-_Samosad_Bend_-_Veter__Micronoise_Paranoic_Sound_Dub_Vision_.mp3,archive_low_download,True,19165322,479.08306122448977,44100.0,2.0,320.033389634195,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/like plankton for the elephant - like_plankton_for_the_elephant-passage-11-imitation_imitation.mp3,archive_low_download,True,3911790,,,,,,,,,,,Error opening 'music/low_stream/like plankton for the elephant - like_plankton_for_the_elephant-passage-11-imitation_imitation.mp3': File does not exist or is not a regular file (possibly a pipe?).
